uf,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Rondônia,62,92,114,188,172,150,103,121,135,183,198,176
Acre,99,123,84,67,73,57,74,59,67,57,72,72
Amazonas,277,297,451,381,239,283,224,251,205,221,226,217
Roraima,36,28,50,49,29,33,24,42,50,78,58,127
Pará,427,459,377,387,272,322,404,437,415,436,396,464
Amapá,70,54,45,60,96,49,34,32,37,17,29,32
Tocantins,120,104,108,80,75,72,84,59,76,49,64,63
Maranhão,274,146,136,199,117,157,157,217,221,273,286,314
Piauí,199,160,175,109,66,67,33,101,149,111,167,125
Ceará,553,698,710,623,616,646,605,582,593,582,617,714
Rio Grande do Norte,336,366,398,415,432,384,361,368,362,301,403,363
Paraíba,437,356,396,404,388,378,428,339,347,323,320,460
Pernambuco,1662,1365,1470,1666,1996,1615,1093,1171,1182,1349,1326,1173
Alagoas,176,219,248,273,379,296,170,204,238,230,250,300
Sergipe,38,28,44,49,31,37,70,59,88,92,101,84
Bahia,942,985,1143,1240,1234,1100,1313,1206,1348,1327,1139,990
Minas Gerais,1312,1225,1103,1128,1082,1051,998,921,1012,1111,1248,1321
Espírito Santo,126,165,141,210,241,219,142,187,239,155,165,173
Rio de Janeiro,2245,2192,2127,1994,1719,1549,1061,1388,1231,1231,1485,1454
São Paulo,2676,1459,1382,2497,2551,2531,2595,3105,3297,3410,3527,3561
Paraná,2038,965,917,469,344,354,371,469,398,393,387,372
Santa Catarina,330,411,271,326,352,395,479,579,591,579,667,682
Rio Grande do Sul,1548,1002,1059,1003,1078,978,875,1083,1035,1157,1085,1342
Mato Grosso do Sul,321,236,278,242,227,282,253,245,237,194,172,242
Mato Grosso,113,64,78,109,142,182,174,120,142,131,135,133
Goiás,942,260,293,275,248,287,199,275,317,223,320,294
Distrito Federal,181,163,171,175,195,214,130,230,226,182,194,245
